,timepoint,cloudcover,lifted_index,prec_type,prec_amount,temp2m,rh2m,weather,wind10m.direction,wind10m.speed
0,3,4,-4,none,0,27,79%,pcloudyday,E,3
1,6,4,-4,none,0,28,80%,pcloudynight,E,3
2,9,4,-4,rain,0,27,78%,ishowernight,E,3
3,12,3,-4,rain,0,27,77%,ishowernight,E,3
4,15,2,-4,rain,0,27,80%,ishowernight,NE,3
5,18,3,-4,rain,0,27,76%,ishowerday,NE,2
6,21,2,-4,none,0,27,80%,clearday,NE,3
7,24,3,-4,none,1,27,79%,pcloudyday,NE,3
8,27,4,-4,none,1,27,78%,pcloudyday,E,3
9,30,3,-4,none,1,28,77%,pcloudynight,E,3
10,33,1,-4,none,1,27,77%,clearnight,E,3
11,36,4,-4,none,1,27,79%,pcloudynight,NE,3
12,39,6,-6,rain,1,27,79%,tsnight,NE,3
13,42,8,-4,rain,1,27,78%,lightrainday,NE,3
14,45,6,-4,rain,2,27,79%,oshowerday,N,3
15,48,7,-4,rain,2,27,76%,oshowerday,NE,3
16,51,4,-4,none,2,28,76%,pcloudyday,NE,3
17,54,4,-4,none,2,27,85%,pcloudynight,E,3
18,57,5,-4,rain,2,27,83%,ishowernight,E,3
19,60,5,-4,rain,2,27,80%,ishowernight,NE,3
20,63,4,-6,rain,3,27,84%,tsnight,NE,3
21,66,4,-4,rain,3,27,82%,ishowerday,NE,3
22,69,2,-6,rain,3,27,85%,tsday,NE,3
23,72,2,-4,rain,3,27,78%,ishowerday,NE,3
24,75,2,-4,none,3,27,85%,clearday,E,4
25,78,1,-4,none,3,28,83%,clearnight,E,3
26,81,4,-4,none,3,28,81%,pcloudynight,NE,3
27,84,5,-1,none,3,27,73%,pcloudynight,NE,3
28,87,6,-1,none,3,27,75%,mcloudynight,NE,3
29,90,6,-1,none,3,27,75%,mcloudyday,NE,3
30,93,7,-1,rain,3,27,70%,oshowerday,N,3
31,96,6,-1,none,3,27,74%,mcloudyday,NE,3
32,99,2,-1,none,3,27,74%,clearday,E,4
33,102,2,-1,none,3,27,73%,clearnight,E,3
34,105,2,-1,none,3,27,71%,clearnight,NE,3
35,108,1,-1,none,3,27,74%,clearnight,NE,3
36,111,5,-1,none,3,27,75%,pcloudynight,NE,3
37,114,4,-1,none,3,27,70%,pcloudyday,N,3
38,117,3,-1,rain,3,27,72%,ishowerday,N,3
39,120,4,-1,none,3,27,72%,pcloudyday,NE,3
40,123,7,-4,none,3,27,77%,mcloudyday,E,4
41,126,5,-4,none,3,27,80%,pcloudynight,E,3
42,129,2,-4,none,3,27,76%,clearnight,NE,3
43,132,2,-4,none,3,27,76%,clearnight,NE,3
44,135,1,-4,none,3,27,77%,clearnight,NE,3
45,138,2,-4,none,3,27,80%,clearday,N,3
46,141,4,-4,rain,3,27,78%,ishowerday,N,3
47,144,2,-4,rain,3,27,74%,ishowerday,NE,3
48,147,1,-4,none,3,27,79%,clearday,E,4
49,150,1,-4,none,3,28,75%,clearnight,E,3
50,153,1,-4,none,3,27,78%,clearnight,E,3
51,156,1,-4,none,3,27,77%,clearnight,NE,3
52,159,1,-4,none,3,27,78%,clearnight,NE,3
53,162,2,-4,rain,3,27,78%,ishowerday,NE,3
54,165,4,-4,rain,3,27,75%,ishowerday,N,3
55,168,2,-4,rain,3,27,77%,ishowerday,NE,3
56,171,1,-4,none,3,28,75%,clearday,E,3
57,174,1,-4,none,3,27,76%,clearnight,E,3
58,177,1,-4,none,3,27,80%,clearnight,E,3
59,180,2,-4,none,3,27,75%,clearnight,E,3
60,183,2,-4,rain,3,27,75%,ishowernight,E,2
61,186,2,-4,rain,3,27,75%,ishowerday,NE,2
62,189,2,-4,rain,3,27,80%,ishowerday,N,3
63,192,3,-4,rain,3,27,80%,ishowerday,NE,3
